perm	control_libs	n_compartments	GLMM_sig	Fisher_sig	Wilcox_sig	n_tested_glmm	med_p_glmm	med_p_fisher	ks_glmm	ks_fisher	mins
21	CEC1|CEC5|MEC5	2	763	3455	0	17055	0.379542179589536	0.216800595942947	5.3193929872384e-271	0	3.53
22	CEC1|GEC1|GEC2	2	596	2833	0	15900	0.388080323450724	0.243727712780124	1.30329837250882e-216	0	3.37
23	CEC1|GEC1|GEC3	2	553	2780	0	15966	0.391076716393431	0.241732704898034	1.40969223433851e-202	0	3.72
24	CEC1|GEC1|GEC4	2	540	2793	0	16087	0.396711097048735	0.24305315120266	2.04570681559818e-189	0	3.46
25	CEC1|GEC1|GEC5	2	592	2929	0	16191	0.386368214864369	0.238127478538719	1.66945056163805e-232	0	3.52
26	CEC1|GEC1|MEC2	3	761	2944	0	16854	0.380348117877796	0.236234453779394	5.90366937297453e-247	0	3.39
27	CEC1|GEC1|MEC3	3	717	2872	0	16646	0.388498410146639	0.247503827835703	8.6865095356947e-237	0	3.52
28	CEC1|GEC1|MEC4	3	646	2695	0	16764	0.394331289228578	0.248592272904637	6.96963502870527e-222	0	3.55
29	CEC1|GEC1|MEC5	3	640	2717	0	16764	0.395450282882236	0.259479895045581	2.98665481295595e-202	0	3.7
30	CEC1|GEC2|GEC3	2	539	2813	0	15442	0.386263744464012	0.235233924352201	3.28344406438377e-212	0	3.17
31	CEC1|GEC2|GEC4	2	546	2788	0	15544	0.392930942540264	0.244875881958063	4.25935400264458e-194	0	2.96
32	CEC1|GEC2|GEC5	2	608	2832	0	15695	0.38653284631639	0.235189844371936	2.2036212685762e-218	0	3.6
33	CEC1|GEC2|MEC1	3	853	3340	0	17806	0.390818189151096	0.232823644797527	1.6765074383666e-281	0	4.03
34	CEC1|GEC2|MEC2	3	826	3141	0	16355	0.381390510512942	0.2301206820913	8.97108674432613e-265	0	4
35	CEC1|GEC2|MEC3	3	706	3073	0	16147	0.381587994250605	0.238497588500509	1.78912376454865e-248	0	3.76
36	CEC1|GEC2|MEC4	3	672	2910	0	16348	0.388360779559017	0.237846849622003	1.30631399941399e-241	0	3.52
37	CEC1|GEC2|MEC5	3	625	2770	0	16322	0.393288351660714	0.250188844703387	2.62492788582345e-206	0	3.56
38	CEC1|GEC3|GEC4	2	522	2670	0	15617	0.396053116804889	0.243408467958002	8.88536500775778e-176	0	3.42
39	CEC1|GEC3|GEC5	2	587	2813	0	15797	0.38653284631639	0.240434128505353	1.72568168187607e-212	0	3.75
40	CEC1|GEC3|MEC1	3	827	3181	0	17813	0.391947187168298	0.236238088067419	1.45714768035672e-275	0	3.55
41	CEC1|GEC3|MEC2	3	788	3029	0	16410	0.383348260064713	0.234386176979764	3.34449881835974e-252	0	3.6
42	CEC1|GEC3|MEC3	3	728	2878	0	16189	0.385367832893036	0.242389105403839	1.13340912494779e-228	0	3.41
43	CEC1|GEC3|MEC4	3	638	2777	0	16420	0.390999959578925	0.239682087748351	2.37543786340015e-225	0	3.03
44	CEC1|GEC3|MEC5	3	615	2716	0	16385	0.397246817920139	0.252156960610314	4.1237613445962e-203	0	2.97
45	CEC1|GEC4|GEC5	2	558	2820	0	15892	0.391715852012447	0.242655435605196	8.04692797076492e-212	0	3.16
46	CEC1|GEC4|MEC1	3	809	3193	0	17827	0.394822612562336	0.241282565332985	2.16619213918134e-260	0	3.74
47	CEC1|GEC4|MEC2	3	762	3016	0	16477	0.388258094327721	0.236963803464117	3.4721160011998e-238	0	3.22
48	CEC1|GEC4|MEC3	3	687	2956	0	16229	0.389382754106383	0.240286691463045	1.97834636607973e-233	0	2.97
49	CEC1|GEC4|MEC4	3	632	2776	0	16496	0.39723378581484	0.24118800860261	1.27463125948628e-222	0	3.4
50	CEC1|GEC4|MEC5	3	603	2657	0	16432	0.402479954666821	0.254470230376734	4.47963349087489e-181	0	3.23
51	CEC1|GEC5|MEC1	3	840	3276	0	17874	0.387663404821242	0.236918526137282	2.4058906809608e-290	0	3.26
52	CEC1|GEC5|MEC2	3	800	3061	0	16624	0.382077701038217	0.237424645675063	6.40637143311566e-254	0	3.48
53	CEC1|GEC5|MEC3	3	728	2947	0	16404	0.38290893892736	0.247169892536435	7.76265242553682e-236	0	3.85
54	CEC1|GEC5|MEC4	3	650	2761	0	16572	0.391349796226281	0.243313321727903	2.23011112459058e-232	0	4.29
55	CEC1|GEC5|MEC5	3	649	2790	0	16569	0.394448553973621	0.256506227100718	7.38581727039029e-209	0	4.13
56	CEC1|MEC1|MEC2	2	894	3469	0	17710	0.388088796716506	0.229892299494539	4.55568432575375e-283	0	3.46
57	CEC1|MEC1|MEC3	2	802	3413	0	17759	0.392484828866583	0.234031175622178	2.23853778041463e-269	0	3.23
58	CEC1|MEC1|MEC4	2	803	3453	0	17813	0.388900736668688	0.230064163077813	2.50471564817061e-282	0	2.82
59	CEC1|MEC1|MEC5	2	823	3466	0	17770	0.388200208554417	0.233584650914425	7.85205767952624e-265	0	3.07
60	CEC1|MEC2|MEC3	2	876	3380	0	16689	0.372260067925	0.224716060509644	6.75176313195452e-285	0	2.68
61	CEC1|MEC2|MEC4	2	807	3314	0	16867	0.379586061432529	0.227119583214634	1.41280686818953e-279	0	3.01
62	CEC1|MEC2|MEC5	2	792	3158	0	16842	0.390483020260651	0.235333244872563	1.88695194663902e-237	0	3.03
63	CEC1|MEC3|MEC4	2	756	3253	0	16730	0.377713229882909	0.227217062590788	2.14152567703475e-277	0	2.67
64	CEC1|MEC3|MEC5	2	739	3041	0	16715	0.389382754106383	0.239941072514857	2.10189847452771e-236	0	2.77
65	CEC1|MEC4|MEC5	2	728	3117	0	16791	0.387066535356689	0.23706084267417	1.12036021210073e-244	0	2.62
66	CEC2|CEC5|GEC1	2	587	2939	0	15799	0.396741228738608	0.242394959142025	1.04084189069431e-202	0	2.63
67	CEC2|CEC5|GEC2	2	569	3042	0	15367	0.385572849648956	0.227402183652241	4.1809153824976e-240	0	2.58
68	CEC2|CEC5|GEC3	2	595	2931	0	15453	0.393399398081973	0.232137763861784	5.70466166131369e-214	0	2.68
69	CEC2|CEC5|GEC4	2	566	2830	0	15570	0.397344002838369	0.235364401876709	3.57217123050565e-208	0	2.94
70	CEC2|CEC5|GEC5	2	580	2950	0	15826	0.398483273518893	0.234292635973863	9.40799975056983e-227	0	3.04
71	CEC2|CEC5|MEC1	2	822	3523	0	17209	0.383754856467499	0.227958616084468	3.9150645784963e-284	0	2.91
72	CEC2|CEC5|MEC2	2	773	3313	0	16321	0.384180161860737	0.227538093920754	1.198821709107e-269	0	2.95
73	CEC2|CEC5|MEC3	2	791	3369	0	16052	0.380911723279435	0.22446752935747	1.26790659126196e-277	0	2.95
74	CEC2|CEC5|MEC4	2	751	3197	0	16332	0.390067127012184	0.229646380474364	3.02105756089292e-260	0	2.68
75	CEC2|CEC5|MEC5	2	663	3067	0	16338	0.395781551400083	0.238062728527612	1.11444728786852e-223	0	3.06
76	CEC2|GEC1|GEC2	2	485	2655	0	13370	0.398003203087679	0.232665726920544	9.33594718604081e-173	0	2.12
77	CEC2|GEC1|GEC3	2	533	2601	0	13491	0.402318488482038	0.233308015502318	4.56762096620081e-158	0	2.22
78	CEC2|GEC1|GEC4	2	492	2577	0	13803	0.411371357230532	0.243636567301045	5.09538791630334e-144	0	2.38
79	CEC2|GEC1|GEC5	2	495	2669	0	14027	0.403993772296489	0.233504845822784	3.9335463492312e-173	0	2.44
80	CEC2|GEC1|MEC1	3	780	3028	0	16993	0.394745185858994	0.246987499581076	5.06702279905607e-249	0	2.82
81	CEC2|GEC1|MEC2	3	732	2932	0	15271	0.387596382277861	0.23159226181924	3.53696569696571e-237	0	2.31
82	CEC2|GEC1|MEC3	3	802	2929	0	14879	0.391170490747627	0.236687530980181	8.71675140433064e-217	0	2.61
83	CEC2|GEC1|MEC4	3	638	2603	0	15135	0.399885727829187	0.253645543548961	3.41628312912816e-197	0	2.71
84	CEC2|GEC1|MEC5	3	579	2404	0	15201	0.408907774820734	0.262481339570253	2.81070236959169e-166	0	2.88
85	CEC2|GEC2|GEC3	2	495	2622	0	12781	0.400776819300666	0.229875933959261	1.20825988212661e-174	0	2.42
86	CEC2|GEC2|GEC4	2	526	2609	0	13176	0.405100858559797	0.236348504274327	1.34054713197632e-155	0	2.34
87	CEC2|GEC2|GEC5	2	463	2585	0	13371	0.403096298496892	0.227527754904579	1.36298760416713e-170	0	2.67
