perm	labels	n_tested_glmm	GLMM_sig	Fisher_sig	Wilcox_sig	med_p_glmm	med_p_fisher	ks_glmm	ks_fisher	mins
180	ddcccddcdcdc	19764	69	302	0	0.497791052243196	0.605628556631265	0.00120024809172325	0	2.32
181	ddcccddcdccd	19753	73	343	0	0.497337470884726	0.603734386984051	2.12294460678469e-09	0	2.13
182	ddcccddccddc	19803	73	323	0	0.498887286894987	0.605590386729958	0.00401056977292536	0	2.22
183	ddcccddccdcd	19745	54	309	0	0.502742283944272	0.602031376843059	0.00733937180615992	0	2.2
184	ddcccddcccdd	19734	61	295	0	0.502091592313597	0.601938800216176	0.0017183804114399	0	2.19
185	ddcccdcdddcc	19683	74	323	0	0.490315502405713	0.600204278300633	1.39420869403209e-10	0	2.13
186	ddcccdcddcdc	19686	68	319	0	0.493054315279377	0.600352316207592	9.70717371390228e-08	0	2.19
187	ddcccdcddccd	19733	79	354	0	0.488158965776347	0.601454815613003	2.50534409317415e-10	0	2.33
188	ddcccdcdcddc	19736	59	304	0	0.491853361736803	0.600065445334154	1.30065920160546e-07	0	2.24
189	ddcccdcdcdcd	19753	49	273	0	0.497353620905361	0.601518026565465	0.000141681428282619	0	2.61
190	ddcccdcdccdd	19801	51	277	0	0.497304703276875	0.602433650325029	0.00770715026871794	0	3.84
191	ddcccdccdddc	19699	82	339	0	0.485139470873931	0.597256420593823	3.71736860057209e-13	0	3.71
192	ddcccdccddcd	19670	74	310	0	0.488938691382915	0.594261763263689	2.17461923641201e-06	0	2.97
193	ddcccdccdcdd	19712	73	318	0	0.493360185756379	0.601924196464136	6.38599551114503e-05	0	2.95
194	ddcccdcccddd	19548	117	490	0	0.460111974851738	0.570881487446234	1.32960702546102e-39	0	2.71
195	ddccccddddcc	19422	102	389	0	0.480832963146344	0.588416137099015	3.34662795684457e-24	0	2.65
196	ddccccdddcdc	19475	104	393	0	0.475833088796006	0.585873570326799	1.77538311431711e-25	0	2.69
197	ddccccdddccd	19594	131	452	0	0.474294356069851	0.585838028690945	4.22111011569318e-33	0	2.73
